latitude,longitude,time
45.05,45.05,12862440.0
44.949999999999996,45.15,
44.849999999999994,45.25,
44.75,45.349999999999994,
44.65,45.449999999999996,
44.55,45.55,
44.449999999999996,45.65,
44.349999999999994,45.75,
44.25,45.849999999999994,
44.15,45.949999999999996,
44.05,46.05,
43.949999999999996,46.15,
43.849999999999994,46.25,
43.75,46.349999999999994,
43.65,46.449999999999996,
43.55,46.55,
43.449999999999996,46.65,
43.349999999999994,46.75,
43.25,46.849999999999994,
43.15,46.949999999999996,
43.05,47.05,
42.949999999999996,47.15,
42.849999999999994,47.25,
42.75,47.349999999999994,
42.65,47.449999999999996,
42.55,47.55,
42.449999999999996,47.65,
42.349999999999994,47.75,
42.25,47.849999999999994,
42.15,47.949999999999996,
42.05,48.05,
41.949999999999996,48.15,
41.849999999999994,48.25,
41.75,48.349999999999994,
41.65,48.449999999999996,
41.55,48.55,
41.449999999999996,48.65,
41.349999999999994,48.75,
41.25,48.849999999999994,
41.15,48.949999999999996,
41.05,49.05,
40.949999999999996,49.15,
40.849999999999994,49.25,
40.75,49.349999999999994,
40.65,49.449999999999996,
40.55,49.55,
40.449999999999996,49.65,
40.349999999999994,49.75,
40.25,49.849999999999994,
40.15,49.949999999999996,
40.05,50.05,
39.949999999999996,50.15,
39.849999999999994,50.25,
39.75,50.349999999999994,
39.65,50.449999999999996,
39.55,50.55,
39.449999999999996,50.65,
39.349999999999994,50.75,
39.25,50.849999999999994,
39.15,50.949999999999996,
39.05,51.05,
38.949999999999996,51.15,
38.849999999999994,51.25,
38.75,51.349999999999994,
38.65,51.449999999999996,
38.55,51.55,
38.449999999999996,51.65,
38.349999999999994,51.75,
38.25,51.849999999999994,
38.15,51.949999999999996,
38.05,52.05,
37.949999999999996,52.15,
37.849999999999994,52.25,
37.75,52.349999999999994,
37.65,52.449999999999996,
37.55,52.55,
37.449999999999996,52.65,
37.349999999999994,52.75,
37.25,52.849999999999994,
37.15,52.949999999999996,
37.05,53.05,
36.949999999999996,53.15,
36.849999999999994,53.25,
36.75,53.349999999999994,
36.65,53.449999999999996,
36.55,53.55,
36.449999999999996,53.65,
36.349999999999994,53.75,
36.25,53.849999999999994,
36.15,53.949999999999996,
36.05,54.05,
35.949999999999996,54.15,
35.849999999999994,54.25,
35.75,54.349999999999994,
35.65,54.449999999999996,
35.55,54.55,
35.449999999999996,54.65,
35.349999999999994,54.75,
35.25,54.849999999999994,
35.15,54.949999999999996,
35.05,55.05,
34.949999999999996,55.15,
34.849999999999994,55.25,
34.75,55.349999999999994,
34.65,55.449999999999996,
34.55,55.55,
34.449999999999996,55.65,
34.349999999999994,55.75,
34.25,55.849999999999994,
34.15,55.949999999999996,
34.05,56.05,
33.949999999999996,56.15,
33.849999999999994,56.25,
33.75,56.349999999999994,
33.65,56.449999999999996,
33.55,56.55,
33.449999999999996,56.65,
33.349999999999994,56.75,
33.25,56.849999999999994,
33.15,56.949999999999996,
33.05,57.05,
32.949999999999996,57.15,
32.849999999999994,57.25,
32.75,57.349999999999994,
32.65,57.449999999999996,
32.55,57.55,
32.449999999999996,57.65,
32.349999999999994,57.75,
32.25,57.849999999999994,
32.15,57.949999999999996,
32.05,58.05,
31.949999999999996,58.15,
31.849999999999994,58.25,
31.749999999999996,58.349999999999994,
31.65,58.449999999999996,
31.549999999999997,58.55,
31.449999999999996,58.65,
31.349999999999994,58.75,
31.249999999999996,58.849999999999994,
31.15,58.949999999999996,
31.049999999999997,59.05,
30.949999999999996,59.15,
30.849999999999994,59.25,
30.749999999999996,59.349999999999994,
30.65,59.449999999999996,
30.549999999999997,59.55,
30.449999999999996,59.65,
30.349999999999994,59.75,
30.249999999999996,59.849999999999994,
30.15,59.949999999999996,
30.049999999999997,60.05,
29.949999999999996,60.15,
29.849999999999994,60.25,
29.749999999999996,60.349999999999994,
29.65,60.449999999999996,
29.549999999999997,60.55,
29.449999999999996,60.65,
29.349999999999994,60.75,
29.249999999999996,60.849999999999994,
29.15,60.949999999999996,
29.049999999999997,61.05,
28.949999999999996,61.15,
28.849999999999998,61.25,
28.749999999999996,61.349999999999994,
