Timestamp,PM2.5 (µg/m³)
2019-07-11 05:00:00,31.0
2019-07-12 05:00:00,33.0
2019-07-13 05:00:00,27.0
2019-07-14 05:00:00,82.5
2019-07-15 05:00:00,15.25
2019-07-16 05:00:00,10.25
2019-07-17 05:00:00,50.25
2019-07-18 05:00:00,
2019-07-19 05:00:00,65.5
2019-07-20 05:00:00,33.0
2019-07-21 05:00:00,28.25
2019-07-22 05:00:00,50.75
2019-07-23 05:00:00,46.5
2019-07-24 05:00:00,71.5
2019-07-25 05:00:00,0.75
2019-07-26 05:00:00,32.0
2019-07-27 05:00:00,-1.75
2019-07-28 05:00:00,4.25
2019-07-29 05:00:00,28.25
2019-07-30 05:00:00,9.25
2019-07-31 05:00:00,16.5
2019-08-01 05:00:00,11.0
2019-08-02 05:00:00,12.75
2019-08-03 05:00:00,7.75
2019-08-04 05:00:00,31.0
2019-08-05 05:00:00,7.75
2019-08-06 05:00:00,43.75
2019-08-07 05:00:00,41.5
2019-08-08 05:00:00,36.0
2019-08-09 05:00:00,27.25
2019-08-10 05:00:00,-0.5
2019-08-11 05:00:00,29.75
2019-08-12 05:00:00,-11.5
2019-08-13 05:00:00,
2019-08-14 05:00:00,13.0
2019-08-15 05:00:00,24.0
2019-08-16 05:00:00,15.25
2019-08-17 05:00:00,15.5
2019-08-18 05:00:00,17.0
2019-08-19 05:00:00,33.0
2019-08-20 05:00:00,7.5
2019-08-21 05:00:00,35.75
2019-08-22 05:00:00,30.25
2019-08-23 05:00:00,23.75
2019-08-24 05:00:00,23.5
2019-08-25 05:00:00,9.25
2019-08-26 05:00:00,-4.75
2019-08-27 05:00:00,37.75
2019-08-28 05:00:00,28.25
2019-08-29 05:00:00,6.75
2019-08-30 05:00:00,33.25
2019-08-31 05:00:00,34.25
2019-09-01 05:00:00,10.0
2019-09-02 05:00:00,8.75
2019-09-03 05:00:00,
2019-09-04 05:00:00,38.0
2019-09-05 05:00:00,19.25
2019-09-06 05:00:00,28.0
2019-09-07 05:00:00,18.0
2019-09-08 05:00:00,3.75
2019-09-09 05:00:00,11.5
2019-09-10 05:00:00,56.75
2019-09-11 05:00:00,66.75
2019-09-12 05:00:00,71.5
2019-09-13 05:00:00,19.0
2019-09-14 05:00:00,25.0
2019-09-15 05:00:00,25.25
2019-09-16 05:00:00,
2019-09-17 05:00:00,48.25
2019-09-18 05:00:00,40.5
2019-09-19 05:00:00,-3.25
2019-09-20 05:00:00,21.25
2019-09-21 05:00:00,13.5
2019-09-22 05:00:00,29.0
2019-09-23 05:00:00,3.5
2019-09-24 05:00:00,64.5
2019-09-25 05:00:00,41.75
2019-09-26 05:00:00,23.5
2019-09-27 05:00:00,-13.75
2019-09-28 05:00:00,30.75
2019-09-29 05:00:00,-4.0
2019-09-30 05:00:00,
2019-10-01 05:00:00,13.75
2019-10-02 05:00:00,6.5
2019-10-03 05:00:00,
2019-10-04 05:00:00,
2019-10-05 05:00:00,28.5
2019-10-06 05:00:00,57.75
2019-10-07 05:00:00,
2019-10-08 05:00:00,37.5
2019-10-09 05:00:00,97.0
2019-10-10 05:00:00,98.75
2019-10-11 05:00:00,123.0
2019-10-12 05:00:00,124.0
2019-10-13 05:00:00,108.25
2019-10-14 05:00:00,110.75
2019-10-15 05:00:00,176.0
2019-10-16 05:00:00,165.75
2019-10-17 05:00:00,113.0
2019-10-18 05:00:00,124.75
2019-10-19 05:00:00,48.25
2019-10-20 05:00:00,118.25
2019-10-21 05:00:00,126.5
2019-10-22 05:00:00,64.25
2019-10-23 05:00:00,84.5
2019-10-24 05:00:00,
2019-10-25 05:00:00,118.0
2019-10-26 05:00:00,96.75
2019-10-27 05:00:00,135.75
2019-10-28 05:00:00,259.5
2019-10-29 05:00:00,188.0
2019-10-30 05:00:00,223.5
2019-10-31 05:00:00,184.5
2019-11-01 05:00:00,387.0
2019-11-02 05:00:00,202.5
2019-11-03 05:00:00,532.25
2019-11-04 05:00:00,424.75
2019-11-05 05:00:00,290.0
2019-11-06 05:00:00,112.0
2019-11-07 05:00:00,202.0
2019-11-08 05:00:00,220.5
2019-11-09 05:00:00,179.5
2019-11-10 05:00:00,304.5
2019-11-11 05:00:00,280.5
2019-11-12 05:00:00,412.75
2019-11-13 05:00:00,430.5
2019-11-14 05:00:00,358.25
2019-11-15 05:00:00,673.75
2019-11-16 05:00:00,199.0
2019-11-17 05:00:00,128.75
2019-11-18 05:00:00,111.75
2019-11-19 05:00:00,116.5
2019-11-20 05:00:00,126.25
2019-11-21 05:00:00,257.25
2019-11-22 05:00:00,
2019-11-23 05:00:00,134.25
2019-11-24 05:00:00,88.25
2019-11-25 05:00:00,113.75
2019-11-26 05:00:00,119.25
2019-11-27 05:00:00,44.0
2019-11-28 05:00:00,32.0
2019-11-29 05:00:00,22.75
2019-11-30 05:00:00,114.75
2019-12-01 05:00:00,105.25
